nt_seq_ID	tip_labels	original_metaspades_contig_node_IDs	original_sample_ID	read_map_consensus_sample_ID	orf_id	contig_id	Location	Country	Year	morph_mosq_sp	SKA_SNP_dist_dend	verif_mosq_sp	comment	cluster_on_SKA_plot	host_taxon	host_genus
Agrichlet_virus_F1434C1F1407	Agrichlet_virus_F1434C1F1407	C1	F1434	F1407	F1434_NODE_1_length_7484_cov_199.621349_3	F1434_NODE_1_length_7484_cov_199.621349	Cambodia:Kompong Thom	Cambodia	2019	Culex bitaeniorhynchus	mixed cluster	Culex sp bitaeniorhynchus or sinensis or vishnui.g	_	cluster11	Culex sp bitaeniorhynchus or sinensis or vishnui.g	Culex
Agrichlet_virus_F1434C1F1407	Agrichlet_virus_F1434C1F1407	C1	F1434	F1407	F1434_NODE_1_length_7484_cov_199.621349_3	F1434_NODE_1_length_7484_cov_199.621349	Cambodia:Kompong Thom	Cambodia	2019	Culex bitaeniorhynchus	mixed cluster	Culex sp bitaeniorhynchus or sinensis or vishnui.g	_	cluster11	Culex sp bitaeniorhynchus or sinensis or vishnui.g	Culex
Agrichlet_virus_F1434C1F1434	Agrichlet_virus_F1434C1F1434	C1	F1434	F1434	F1434_NODE_1_length_7484_cov_199.621349_3	F1434_NODE_1_length_7484_cov_199.621349	Cambodia:Kompong Thom	Cambodia	2019	Culex sinensis	mixed cluster	Culex sp bitaeniorhynchus or sinensis or vishnui.g	_	cluster11	Culex sp bitaeniorhynchus or sinensis or vishnui.g	Culex
Agrichlet_virus_F1434C1F1434	Agrichlet_virus_F1434C1F1434	C1	F1434	F1434	F1434_NODE_1_length_7484_cov_199.621349_3	F1434_NODE_1_length_7484_cov_199.621349	Cambodia:Kompong Thom	Cambodia	2019	Culex sinensis	mixed cluster	Culex sp bitaeniorhynchus or sinensis or vishnui.g	_	cluster11	Culex sp bitaeniorhynchus or sinensis or vishnui.g	Culex
Agrichlet_virus_F1434C1F1434	Agrichlet_virus_F1434C1F1434	C1	F1434	F1434	F1434_NODE_1_length_7484_cov_199.621349_3	F1434_NODE_1_length_7484_cov_199.621349	Cambodia:Kompong Thom	Cambodia	2019	Culex sinensis	mixed cluster	Culex sp bitaeniorhynchus or sinensis or vishnui.g	_	cluster11	Culex sp bitaeniorhynchus or sinensis or vishnui.g	Culex
Agrichlet_virus_F1434C1F1434	Agrichlet_virus_F1434C1F1434	C1	F1434	F1434	F1434_NODE_1_length_7484_cov_199.621349_3	F1434_NODE_1_length_7484_cov_199.621349	Cambodia:Kompong Thom	Cambodia	2019	Culex sinensis	mixed cluster	Culex sp bitaeniorhynchus or sinensis or vishnui.g	_	cluster11	Culex sp bitaeniorhynchus or sinensis or vishnui.g	Culex
Agrichlet_virus_F1434C1F1445	Agrichlet_virus_F1434C1F1445	C1	F1434	F1445	F1434_NODE_1_length_7484_cov_199.621349_3	F1434_NODE_1_length_7484_cov_199.621349	Cambodia:Kompong Thom	Cambodia	2019	Culex sinensis	mixed cluster	Culex sp bitaeniorhynchus or sinensis or vishnui.g	_	cluster11	Culex sp bitaeniorhynchus or sinensis or vishnui.g	Culex
Agrichlet_virus_F1434C1F1445	Agrichlet_virus_F1434C1F1445	C1	F1434	F1445	F1434_NODE_1_length_7484_cov_199.621349_3	F1434_NODE_1_length_7484_cov_199.621349	Cambodia:Kompong Thom	Cambodia	2019	Culex sinensis	mixed cluster	Culex sp bitaeniorhynchus or sinensis or vishnui.g	_	cluster11	Culex sp bitaeniorhynchus or sinensis or vishnui.g	Culex
Agrichlet_virus_F1434C1F1445	Agrichlet_virus_F1434C1F1445	C1	F1434	F1445	F1434_NODE_1_length_7484_cov_199.621349_3	F1434_NODE_1_length_7484_cov_199.621349	Cambodia:Kompong Thom	Cambodia	2019	Culex sinensis	mixed cluster	Culex sp bitaeniorhynchus or sinensis or vishnui.g	_	cluster11	Culex sp bitaeniorhynchus or sinensis or vishnui.g	Culex
Agrichlet_virus_F1434C1F1445	Agrichlet_virus_F1434C1F1445	C1	F1434	F1445	F1434_NODE_1_length_7484_cov_199.621349_3	F1434_NODE_1_length_7484_cov_199.621349	Cambodia:Kompong Thom	Cambodia	2019	Culex sinensis	mixed cluster	Culex sp bitaeniorhynchus or sinensis or vishnui.g	_	cluster11	Culex sp bitaeniorhynchus or sinensis or vishnui.g	Culex
