sample_id	ref_id	total_reads	mapped_reads	average_cov	norm_average_cov	percentage_covered	norm_average_cov_LFC	contig_kmer_cov	contig_len	selected	RPKM	RPKM_LFC
F1058	F1004_NODE_2378_length_1152_cov_2.756609	14476837	38	2.23263888888889	0.154221456585364	53.6458333333333	-2.77201036961771	2.756609	1152	no	2.27854407085685	-2.68350835923947
F1059	F1004_NODE_2378_length_1152_cov_2.756609	22241881	8	0.345486111111111	0.015533133690946	7.46527777777778	-6.08359305180231	2.756609	1152	no	0.312223792782834	-5.55096824808335
F1061	F1004_NODE_2378_length_1152_cov_2.756609	12202598	10	0.620659722222222	0.0508629164233897	23.4375	-4.37232777664483	2.756609	1152	no	0.711369460466989	-4.36294968916062
F1069	F1004_NODE_2378_length_1152_cov_2.756609	9665887	35	2.12152777777778	0.219486093493311	69.2708333333333	-2.26288433432825	2.756609	1152	no	3.1432132865245	-2.2193804629394
F1070	F1004_NODE_2378_length_1152_cov_2.756609	9335491	5	0.323784722222222	0.0346832022249523	32.03125	-4.92470485796498	2.756609	1152	no	0.464922281835822	-4.97655915907025
F1075	F1004_NODE_2378_length_1152_cov_2.756609	9320812	51	3.11892361111111	0.334619302600579	73.0902777777778	-1.65449319868429	2.756609	1152	no	4.7496756005092	-1.62379165245235
F1076	F1004_NODE_2378_length_1152_cov_2.756609	8802401	85	5.09201388888889	0.578480108880394	81.9444444444444	-0.864746515781201	2.756609	1152	yes	8.38234047985569	-0.804267511137848
F1079	F1004_NODE_2378_length_1152_cov_2.756609	11015015	145	8.98697916666667	0.815884423822089	100	-0.368649070651152	2.756609	1152	yes	11.4269527145951	-0.357251815530282
F1080	F1004_NODE_2378_length_1152_cov_2.756609	6474351	2	0.112847222222222	0.0174298894549001	9.54861111111111	-5.91737854405479	2.756609	1152	no	0.268152145460002	-5.77049693282064
F1083	F1004_NODE_2378_length_1152_cov_2.756609	9569130	38	2.29427083333333	0.239757515399345	86.1111111111111	-2.13543783026382	2.756609	1152	yes	3.44713794369092	-2.0862216021992
F1085	F1004_NODE_2378_length_1152_cov_2.756609	12489847	26	1.62934027777778	0.130453181514375	22.65625	-3.01348173941927	2.756609	1152	no	1.80702329215437	-3.01800553184644
F1086	F1004_NODE_2378_length_1152_cov_2.756609	10730034	14	0.789930555555556	0.0736186442238259	25.8680555555556	-3.8388707825866	2.756609	1152	no	1.1325945265204	-3.69198917135244
F1158	F1004_NODE_2378_length_1152_cov_2.756609	19346260	71	3.84548611111111	0.198771551251307	35.15625	-2.40590257963051	2.756609	1152	no	3.18572915098032	-2.1999970193056
F1159	F1004_NODE_2378_length_1152_cov_2.756609	16126081	8	0.489583333333333	0.0303597218278473	27.7777777777778	-5.11678339151951	2.756609	1152	no	0.430634352168047	-5.08708531965569
F1161	F1004_NODE_2378_length_1152_cov_2.756609	11538177	145	9.10069444444444	0.788746302335668	100	-0.41745253197862	2.756609	1152	yes	10.908833826657	-0.424195656029497
F1162	F1004_NODE_2378_length_1152_cov_2.756609	15370688	38	2.32465277777778	0.151239344509353	54.9479166666667	-2.80018036706902	2.756609	1152	no	2.14603998930374	-2.76994367468714
F1163	F1004_NODE_2378_length_1152_cov_2.756609	13983892	57	3.60763888888889	0.257985322604672	32.5520833333333	-2.02972487904633	2.756609	1152	no	3.53829725420267	-2.0485653795232
F1165	F1004_NODE_2378_length_1152_cov_2.756609	9706745	97	5.89930555555556	0.607753222687477	88.0208333333333	-0.793528230350494	2.756609	1152	yes	8.67452363164881	-0.754836101084979
F1167	F1004_NODE_2378_length_1152_cov_2.756609	12737346	150	9.41927083333333	0.739500272139371	55.1215277777778	-0.510463190453082	2.756609	1152	no	10.2225638946554	-0.517935459071523
F1168	F1004_NODE_2378_length_1152_cov_2.756609	10242708	167	10.5451388888889	1.02952645812893	91.8402777777778	-0.0331048670815585	2.756609	1152	yes	14.1530225969322	-0.0485823435123541
F1171	F1004_NODE_2378_length_1152_cov_2.756609	13444932	16	1.0390625	0.0772828378752678	34.7222222222222	-3.76879389175144	2.756609	1152	no	1.03302038931018	-3.82475190443233
F1191	F1004_NODE_2378_length_1152_cov_2.756609	11134406	4	0.214409722222222	0.0192565029712606	17.0138888888889	-5.77359623361548	2.756609	1152	no	0.311846201963735	-5.55271404093755
F1194	F1004_NODE_2378_length_1152_cov_2.756609	15980191	2	0.1015625	0.00635552478690649	10.15625	-7.37285880244413	2.756609	1152	no	0.108641449348829	-7.07397409776493
F1196	F1004_NODE_2378_length_1152_cov_2.756609	10176658	7	0.454861111111111	0.0446965114786319	21.1805555555556	-4.55877972879365	2.756609	1152	no	0.597090802195464	-4.61559838401089
F1197	F1004_NODE_2378_length_1152_cov_2.756609	24330115	10	0.651041666666667	0.026758676096133	33.6805555555556	-5.29893522416539	2.756609	1152	no	0.35678234794844	-5.35850449039867
