sample	refs
F1430	Culex_quinquefasciatus_12S_NC_014574,Culex_quinquefasciatus_16S_NC_014574,Culex_quinquefasciatus_18S_AAWU01003351,Culex_quinquefasciatus_28S_AAWU01040617,Culex_quinquefasciatus_5p8S_GU562872
F1431	Culex_quinquefasciatus_12S_NC_014574,Culex_quinquefasciatus_16S_NC_014574,Culex_quinquefasciatus_18S_AAWU01003351,Culex_quinquefasciatus_28S_AAWU01040617,Culex_quinquefasciatus_5p8S_GU562872
F1432	Culex_quinquefasciatus_12S_NC_014574,Culex_quinquefasciatus_16S_NC_014574,Culex_quinquefasciatus_18S_AAWU01003351,Culex_quinquefasciatus_28S_AAWU01040617,Culex_quinquefasciatus_5p8S_GU562872
F1433	Culex_quinquefasciatus_12S_NC_014574,Culex_quinquefasciatus_16S_NC_014574,Culex_quinquefasciatus_18S_AAWU01003351,Culex_quinquefasciatus_28S_AAWU01040617,Culex_quinquefasciatus_5p8S_GU562872
F1503	Aedes_aegypti_12S_NC_035159,Aedes_aegypti_16S_NC_035159,Aedes_aegypti_18S_AAGE02033765_6222_8206,Aedes_aegypti_28S_AAGE02006997_1_2632,Aedes_aegypti_5p8S_GU980956
F1504	Aedes_aegypti_12S_NC_035159,Aedes_aegypti_16S_NC_035159,Aedes_aegypti_18S_AAGE02033765_6222_8206,Aedes_aegypti_28S_AAGE02006997_1_2632,Aedes_aegypti_5p8S_GU980956
F1505	Aedes_aegypti_12S_NC_035159,Aedes_aegypti_16S_NC_035159,Aedes_aegypti_18S_AAGE02033765_6222_8206,Aedes_aegypti_28S_AAGE02006997_1_2632,Aedes_aegypti_5p8S_GU980956
F1506	Aedes_aegypti_12S_NC_035159,Aedes_aegypti_16S_NC_035159,Aedes_aegypti_18S_AAGE02033765_6222_8206,Aedes_aegypti_28S_AAGE02006997_1_2632,Aedes_aegypti_5p8S_GU980956
F1507	Aedes_aegypti_12S_NC_035159,Aedes_aegypti_16S_NC_035159,Aedes_aegypti_18S_AAGE02033765_6222_8206,Aedes_aegypti_28S_AAGE02006997_1_2632,Aedes_aegypti_5p8S_GU980956
F1508	Aedes_albopictus_12S_NC_006817,Aedes_albopictus_16S_NC_006817,Aedes_albopictus_18S_MNAF02000094_105101_107043,Aedes_albopictus_28S_L22060_1197_5298,Aedes_albopictus_5p8S_MQSRNAGN
